"Nome da campanha","Nome do conjunto de anúncios","Nome da conta","Nome do anúncio",Dia,Plataforma,Posicionamento,"Plataforma do dispositivo","Veiculação do anúncio",Alcance,Impressões,"Cliques (todos)",Moeda,"CPC (todos)","Valor usado (BRL)",Início,Término,Frequência,Compras,"Custo por compra","Valor de conversão da compra","Cliques no link","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","CTR (todos)",Visualizações,"Configuração de atribuição","Taxa de compras por visualizações da página de destino","Taxa de compras por cliques no link","Taxa de visualizações da página de destino por cliques no link","Custo por 1.000 contas da Central de Contas alcançadas","Veiculação do conjunto de anúncios","Veiculação da campanha","CTR (taxa de cliques no link)","Adições ao carrinho","Orçamento da campanha","Tipo de orçamento da campanha","Nome da campanha","URL do site","Início dos relatórios","Término dos relatórios"
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,facebook,Marketplace,mobile_app,active,1,1,0,BRL,,0,2025-12-28,Contínuo,1,,,,,,0,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,0,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,instagram,Explorar,mobile_app,active,1,1,0,BRL,,0.01,2025-12-28,Contínuo,1,,,,,,10,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,10,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,facebook,"Facebook Reels",mobile_app,active,42,53,5,BRL,0.646,3.23,2025-12-28,Contínuo,1.26190476,,,,,,60.94339623,9.43396226,53,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,76.9047619,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,instagram,Feed,desktop,active,2,2,0,BRL,,0.01,2025-12-28,Contínuo,1,,,,,,5,0,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,5,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,facebook,Feed,desktop,active,20,24,1,BRL,0.5,0.5,2025-12-28,Contínuo,1.2,,,,,,20.83333333,4.16666667,24,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,25,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,facebook,"Facebook Stories",mobile_app,active,5,5,0,BRL,,1.7,2025-12-28,Contínuo,1,,,,,,340,0,5,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,340,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,instagram,Feed,mobile_app,active,625,730,28,BRL,0.98,27.44,2025-12-28,Contínuo,1.168,,,,23,1.19304348,37.5890411,3.83561644,731,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,43.904,active,active,3.15068493,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,instagram,"Instagram Reels",mobile_app,active,31,33,2,BRL,0.375,0.75,2025-12-28,Contínuo,1.06451613,,,,2,0.375,22.72727273,6.06060606,33,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,24.19354839,active,active,6.06060606,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,instagram,"Instagram Stories",mobile_app,active,57,59,9,BRL,0.21666667,1.95,2025-12-28,Contínuo,1.03508772,,,,7,0.27857143,33.05084746,15.25423729,59,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,34.21052632,active,active,11.86440678,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,threads,"Feed do Threads",mobile_app,active,4,4,1,BRL,0.07,0.07,2025-12-28,Contínuo,1,,,,1,0.07,17.5,25,4,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,17.5,active,active,25,1,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
